codigo_interno,etapa,core,linha,produto_compra,eixo_a,eixo_b,novo_sku,sku_atual
4O4-4ZU,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA BOLD,CERAM BOLD LISA,45x45,MINERALE MR,CERAM BOLD LISA 45x45 MINERALE MR,"PISO 45x45 MINERALE MRM ESM HD  45 PEI 3 (2,00 M²/ CX)"
4OI-6FP,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA RETIF,CERAM RETIF ANTI,81x81,MALI CZ,CERAM RETIF ANTI 81x81 MALI CZ,"PISO 81x81 MALI CZ POL (1,97 M²/CX)"
4OW-ZRW,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA BOLD,CERAM BOLD PARE,34x60,BIANCO MATE,CERAM BOLD PARE 34x60 BIANCO MATE,PISO 34x60 BRANCO ACETIN
4Y9-DVI,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA RETIF,CERAM RETIF MATE,33x59,TAIKO MARFIM RET,CERAM RETIF MATE 33x59 TAIKO MARFIM RET,PISO 33x59 TAIKO MARFIM RET
53U-0LC,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA RETIF,CERAM RETIF POL,60x120,GRAN LUMINI,CERAM RETIF POL 60x120 GRAN LUMINI,PISO 60x120 GRAN LUMINI RT POLIDO
59F-9BM,4 — Revestimentos,ASSENTAMENTO_CERAMICA,PISOS E REVESTIMENTOS,PISO,61x61,"ASSOALHO 2,23M2 HD P","PISO 61x61 ASSOALHO 2,23M2 HD P","PISO 61x61 ASSOALHO 2,23M2 HD P"
5MV-FDF,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA BOLD,CERAM BOLD LISA,45x45,LAGUNA,CERAM BOLD LISA 45x45 LAGUNA,"PISO 45X45 LAGUNA PEI 4 (2,00M² / CX)"
5N1-L7E,4 — Revestimentos,,DIVERSOS,PISO,34x60,"AMBIENTE BR (2,1 M²/CX)","PISO 34x60 AMBIENTE BR (2,1 M²/CX)","PISO 34X60 AMBIENTE BR (2,1 M²/CX)"
5NH-LJW,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA BOLD,CERAM BOLD ANTI,45x45,SAN LORENZO P&B,CERAM BOLD ANTI 45x45 SAN LORENZO P&B,"PISO 45x45 SAN LORENZO P&B (2,00 M²/ CX) HD"
5TY-TS1,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA BOLD,CERAM BOLD LISA,45x45,"BOSCO MARROM PEI 3 (2,00 M²/ CX)","CERAM BOLD LISA 45x45 BOSCO MARROM PEI 3 (2,00 M²/ CX)","PISO 45x45 BOSCO MARROM PEI 3 (2,00 M²/ CX)"
5YT-Y4H,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA RETIF,CERAM RETIF MATE,60x60,HOUSE CINZA,CERAM RETIF MATE 60x60 HOUSE CINZA,"PISO 60x60 HOUSE CINZA RET (2,15 M²/CX) ]"
5YY-Q46,4 — Revestimentos,ASSENTAMENTO_CERAMICA,PISOS E REVESTIMENTOS,PISO,88x88,"PERSA BG ACT (2,32M²/ CX)","PISO 88x88 PERSA BG ACT (2,32M²/ CX)","PISO 88x88 PERSA BG ACT (2,32M²/ CX)"
61H-1K7,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA RETIF,CERAM RETIF POL,33x59,AREIA RT,CERAM RETIF POL 33x59 AREIA RT,"PISO 33x59 AREIA RT  (2,02 M²/CX)"
666-PTG,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA RETIF,CERAM RETIF POL,60x120,BELLA GOLD,CERAM RETIF POL 60x120 BELLA GOLD,"PISO 60X120 BELLA GOLD RT POL (2,16M²/ CX)"
68T-JNZ,4 — Revestimentos,ASSENTAMENTO_CERAMICA,PISOS E REVESTIMENTOS,PISO,84x84,"LÁCTEA PLUS MRE RT LE  (2,81 M²/ CX)","PISO 84x84 LÁCTEA PLUS MRE RT LE (2,81 M²/ CX)","PISO 84x84 LÁCTEA PLUS MRE RT LE  (2,81 M²/ CX)"
6C5-9TP,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA RETIF,CERAM RETIF POL,66x66,SIRIUS GRAY,CERAM RETIF POL 66x66 SIRIUS GRAY,"PISO 66x66 SIRIUS GRAY RET POLIDO (2,18 M²/ CX)"
6CU-68D,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA RETIF,CERAM RETIF MATE,66x66,GRAFITE CZ,CERAM RETIF MATE 66x66 GRAFITE CZ,"PISO 66x66 GRAFITE ACR (2,18 M²/CX)"
6Q9-VSK,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA BOLD,CERAM BOLD LISA,45x45,BIANCO,CERAM BOLD LISA 45x45 BIANCO,PISO 45x45 BRANCA LISA BIANCO 2 M2 PEI4 5505D
6V1-HA0,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA BOLD,CERAM BOLD PARE,34x60,LUCCA BR,CERAM BOLD PARE 34x60 LUCCA BR,PISO 34x60 LUCCA BR HD
6W3-VWJ,4 — Revestimentos,ASSENTAMENTO_CERAMICA,PISOS E REVESTIMENTOS,PISO,87x87,"CEMENT CLEAR MATE  RET (2,27 M²/ CX)","PISO 87x87 CEMENT CLEAR MATE RET (2,27 M²/ CX)","PISO 87x87 CEMENT CLEAR MATE  RET (2,27 M²/ CX)"
74S-2RN,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA RETIF,CERAM RETIF MATE,20x120,COPAIBA,CERAM RETIF MATE 20x120 COPAIBA,"PISO 20x120 COPAIBA RT HD (1,68M² X CX)"
79D-98O,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA RETIF,CERAM RETIF POL,66x66,IMPERIUM DARK,CERAM RETIF POL 66x66 IMPERIUM DARK,"PISO 66x66 IMPERIUM DARK  RET POLIDO (2,18 M²/ CX)"
7L0-NFY,4 — Revestimentos,ASSENTAMENTO_CERAMICA,PISOS E REVESTIMENTOS,PISO,83x83,"NASA POLIDO RT LB  (2,75 M²/ CX)","PISO 83x83 NASA POLIDO RT LB (2,75 M²/ CX)","PISO 83x83 NASA POLIDO RT LB  (2,75 M²/ CX)"
7LK-7LS,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA RETIF,CERAM RETIF MATE,20x120,PEROBA,CERAM RETIF MATE 20x120 PEROBA,"PISO 20x120 PEROBA HD RT (1,68 M²/ CX)"
7N5-QZZ,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA RETIF,CERAM RETIF MATE,66x66,MILANO CZ,CERAM RETIF MATE 66x66 MILANO CZ,"PISO 66x66 MILANO CZ MATE RT  POLIDO (CX 2,188 M²)"
7PZ-5RZ,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA BOLD,CERAM BOLD PARE,34x60,VITRAL BR,CERAM BOLD PARE 34x60 VITRAL BR,PISO 34x60 VITRAL BR EXTRA CX2.10
8D3-DQ5,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA RETIF,CERAM RETIF POL,81x81,CALACATA BIANCO,CERAM RETIF POL 81x81 CALACATA BIANCO,"PISO 81x81 CALACATA BIANCO  RET POLIDO(1,97M²/ CX)"
8N5-QNH,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA RETIF,CERAM RETIF POL,66x66,STATUARIO,CERAM RETIF POL 66x66 STATUARIO,"PISO 66x66 STATUTARIO RT POLIDO (2,18 M²/ CX)"
8OG-UOD,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA BOLD,CERAM BOLD LISA,20x60,CASTANHO,CERAM BOLD LISA 20x60 CASTANHO,PISO 20X60 CASTANHO HD (1.46M2)
8ST-2PH,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA RETIF,CERAM RETIF MATE,66x66,DETROIT,CERAM RETIF MATE 66x66 DETROIT,"PISO 66x66 DETROIT MATE ACET LD (2,18,M²/ CX)"
8ZB-UEP,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA RETIF,CERAM RETIF MATE,60x60,BRANCO MATE,CERAM RETIF MATE 60x60 BRANCO MATE,PISO 60x60 BRANCO ACT RETIFIC
9AX-3HK,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA BOLD,CERAM BOLD SEMI,45x45,JAVA VERDE,CERAM BOLD SEMI 45x45 JAVA VERDE,"PISO 45x45 JAVA VERDE PEI 5 (2,00M²/ CX)"
9CA-JOZ,4 — Revestimentos,ASSENTAMENTO_CERAMICA,PISOS E REVESTIMENTOS,PISO,81x81,"DOMINIQUE AZUL POL (1,97 M²/CX)","PISO 81x81 DOMINIQUE AZUL POL (1,97 M²/CX)","PISO 81x81 DOMINIQUE AZUL POL (1,97 M²/CX)"
9L6-F9Q,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA BOLD,CERAM BOLD SEMI,50x50,ARTICO,CERAM BOLD SEMI 50x50 ARTICO,"PISO 50x50 SEM ARTICO HD  PEI 5 (CX 2,50 M²)"
9NV-CH6,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA RETIF,CERAM RETIF MATE,60x60,GRAFFIATO CZ,CERAM RETIF MATE 60x60 GRAFFIATO CZ,"PISO 60x60 GRAFFIATO CZ MATE RET (2,15 M²/CX)"
9QU-OAH,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA BOLD,CERAM BOLD SEMI,45x45,ASTRA CZ,CERAM BOLD SEMI 45x45 ASTRA CZ,"PISO 45x45 ASTRA CINZA  PEI 4CX ((2,00 M²/ CX))"
9X5-OJ7,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA BOLD,CERAM BOLD LISA,45x45,RIVIERA CZ,CERAM BOLD LISA 45x45 RIVIERA CZ,"PISO 45x45 RIVIERA CZ (2,00 M²/ CX) PEL4 55"
A1H-215,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA BOLD,CERAM BOLD LISA,45x45,TERRAGUA,CERAM BOLD LISA 45x45 TERRAGUA,"PISO 45x45 TERRAGUA (2,00 M²/ CX) PEL4 1325"
A7T-XP1,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA RETIF,CERAM RETIF POL,60x120,GRAN MARMI DELUX,CERAM RETIF POL 60x120 GRAN MARMI DELUX,"PISO 60X120 MARMI DELUX RT POL (2,16M²/ CX)"
A94-J3Q,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA BOLD,CERAM BOLD PARE,34x60,FILETE 58,CERAM BOLD PARE 34x60 FILETE 58,"PISO 34x60 FILETE 57 PEI3 CX 2,10"
AD7-NV0,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA BOLD,CERAM BOLD LISA,45x45,AREIA,CERAM BOLD LISA 45x45 AREIA,"PISO 45x45 BEGE LISA OU AREIA PEI4 CX (2,00 M²/ CX)"
AEV-3DQ,4 — Revestimentos,ASSENTAMENTO_CERAMICA,PISOS E REVESTIMENTOS,PISO,61x61,"PORTO HD EXTRA 2,23M2","PISO 61x61 PORTO HD EXTRA 2,23M2","PISO 61x61 PORTO HD EXTRA 2,23M2"
AN4-5EN,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA BOLD,CERAM BOLD LISA,20x60,FLAMBOYANT,CERAM BOLD LISA 20x60 FLAMBOYANT,PISO 20X60 FLAMBOYANT HD (1.46M2)
AV7-Z9D,4 — Revestimentos,,DIVERSOS,PISO,45x45,"DELUXE  45 PEI 3 (2,00 M²/ CX)","PISO 45x45 DELUXE 45 PEI 3 (2,00 M²/ CX)","PISO 45X45 DELUXE  45 PEI 3 (2,00 M²/ CX)"
AVF-R41,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA BOLD,CERAM BOLD LISA,45x45,ILUMINAR,CERAM BOLD LISA 45x45 ILUMINAR,"PISO 45x45 ILUMINAR BG (2,00 M²/ CX) PEI4 5"
BD7-XM9,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA BOLD,CERAM BOLD LISA,45x45,TRAVERTINO BG,CERAM BOLD LISA 45x45 TRAVERTINO BG,"PISO 45x45 TRAVERTINO BEGE (2,00 M²/ CX) PE"
BI9-11S,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA RETIF,CERAM RETIF POL,66x66,BRONZE ARMANI,CERAM RETIF POL 66x66 BRONZE ARMANI,"PISO 66x66 BRONZE ARMANI POL (2,18 M²/CX)"
BIL-0H2,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA BOLD,CERAM BOLD LISA,45x45,TITANIO,CERAM BOLD LISA 45x45 TITANIO,"PISO 45x45 TITANIO (2,00 M²/ CX) PEI2 1324D"
BJJ-782,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA BOLD,CERAM BOLD PARE,34x60,FINALE,CERAM BOLD PARE 34x60 FINALE,"PISO 34x60 FINALLE (2,02 M²/CX)"
BVX-IU1,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA RETIF,CERAM RETIF MATE,81x81,CLEANTEC SILVER,CERAM RETIF MATE 81x81 CLEANTEC SILVER,"PISO 81x81 CLEANTEC SILVER (1,97M²/CX)"
CCT-7PE,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA RETIF,CERAM RETIF POL,66x66,CACAU,CERAM RETIF POL 66x66 CACAU,"PISO 66x66 CACAU RETIF POLIDO (2,18 M²/ CX)"
CFA-A7W,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA BOLD,CERAM BOLD SEMI,50x50,ENDURO CREMA,CERAM BOLD SEMI 50x50 ENDURO CREMA,"PISO 50X50 SEM ENDURO CREMA  PEI 5 (CX 2,50 M²)"
CP4-YKZ,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA BOLD,CERAM BOLD ANTI,45x45,BAUXITA,CERAM BOLD ANTI 45x45 BAUXITA,"PISO 45x45 BAUXITA PEI 4 2,00M²/"
CRV-F57,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA BOLD,CERAM BOLD ANTI,45x45,SÃO TOME,CERAM BOLD ANTI 45x45 SÃO TOME,"PISO 45x45 SAO TOME (2,00 M²/ CX) PEI4 1337"
CWL-WV3,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA RETIF,CERAM RETIF POL,66x66,BLUASTRA,CERAM RETIF POL 66x66 BLUASTRA,"PISO 66x66 BALASTRA POL (2,18 M²/CX)"
CXZ-D0L,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA RETIF,CERAM RETIF POL,66x66,ONIX ICE,CERAM RETIF POL 66x66 ONIX ICE,"PISO 66x66 ONIX ICE POL (2,18 M²/CX)"
DRM-02X,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA BOLD,CERAM BOLD PARE,34x60,DECORE BR,CERAM BOLD PARE 34x60 DECORE BR,"PISO 34x60 DECORE BR CX2,10M2 PEI"
DU4-Y65,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA RETIF,CERAM RETIF MATE,60x60,PEDRA FERRO,CERAM RETIF MATE 60x60 PEDRA FERRO,"PISO 60x60 ACT PEDRA FERRO  PEI 3 (CX 2,52 M²)"
E9N-5R1,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA BOLD,CERAM BOLD SEMI,50x50,ROYALE BR,CERAM BOLD SEMI 50x50 ROYALE BR,"PISO 50x50 ROYALE BR 50 EXT CX2,5M2"
EH2-H6H,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA RETIF,CERAM RETIF POL,60x120,POMPEI,CERAM RETIF POL 60x120 POMPEI,"PISO 60X120 POMPEI POL (2,16M²/ CX)"
EWA-6TT,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA BOLD,CERAM BOLD PARE,32x45,BIANCO,CERAM BOLD PARE 32x45 BIANCO,"PISO 32x45 BRANCA BIANCO (2,00 M²/ CX) PEI3"
F9J-UXX,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA BOLD,CERAM BOLD LISA,50x50,DUCALE,CERAM BOLD LISA 50x50 DUCALE,"PISO 50x50 DUCALE HD 50 (2,50 M²/ CX)"
FCA-Y27,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA RETIF,CERAM RETIF MATE,66x66,CORTONA,CERAM RETIF MATE 66x66 CORTONA,"PISO 66X66 CORTONA ACT (2,18M²/ CX)"
FCU-M6H,4 — Revestimentos,ASSENTAMENTO_CERAMICA,PISOS E REVESTIMENTOS,PISO,61x61,"ALAMEDA BG HD EXTRA(2,23 M²/ CX)","PISO 61x61 ALAMEDA BG HD EXTRA(2,23 M²/ CX)","PISO 61x61 ALAMEDA BG HD EXTRA(2,23 M²/ CX)"
FE2-S6X,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA RETIF,CERAM RETIF POL,60x120,GRAN POLAR,CERAM RETIF POL 60x120 GRAN POLAR,"PISO 60x120 GRAN POLAR RT POL (2,16M²/ CX)"
FJN-1PG,4 — Revestimentos,ASSENTAMENTO_CERAMICA,PISOS E REVESTIMENTOS,PISO,87x87,"CARBONO BLACK  POL (2,27 M²/CX)","PISO 87x87 CARBONO BLACK POL (2,27 M²/CX)","PISO 87x87 CARBONO BLACK  POL (2,27 M²/CX)"
FNN-8OB,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA RETIF,CERAM RETIF MATE,20x120,PIEMONT,CERAM RETIF MATE 20x120 PIEMONT,"PISO 20x120 PIEMONT RT HD (1,68M² X CX)"
G63-CSJ,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA BOLD,CERAM BOLD LISA,45x45,OLIVA RED,CERAM BOLD LISA 45x45 OLIVA RED,"PISO 45X45 OLIVA RED PEI 3 (2,00 M²/ CX)"
GD4-LX1,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA RETIF,CERAM RETIF POL,66x66,MUNARI CZ,CERAM RETIF POL 66x66 MUNARI CZ,"PISO 66x66 MUNARI CONCRETO ACT (2,18M²/ CX)"
GR1-WWS,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA BOLD,CERAM BOLD LISA,45x45,CARVALHO,CERAM BOLD LISA 45x45 CARVALHO,"PISO 45X45 CARVALHO PEI 3 (2,00M² / CX)"
GW3-4QW,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA BOLD,CERAM BOLD LISA,45x45,MACAU BR,CERAM BOLD LISA 45x45 MACAU BR,"PISO 45X45 MACAU BR PEI 4 (2,00M² / CX)"
H29-XM5,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA RETIF,CERAM RETIF MATE,66x66,ARIES CZ,CERAM RETIF MATE 66x66 ARIES CZ,"PISO 66X66 ARIES CZ MATE ACET LD (2,18,M²/ CX)"
H4C-I70,4 — Revestimentos,ASSENTAMENTO_CERAMICA,PISOS E REVESTIMENTOS,PISO,84x84,"CETUS CINZA PLUS AC LC  (2,81 M²/ CX)","PISO 84x84 CETUS CINZA PLUS AC LC (2,81 M²/ CX)","PISO 84x84 CETUS CINZA PLUS AC LC  (2,81 M²/ CX)"
H4Y-0QR,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA RETIF,CERAM RETIF POL,60x120,"BRANCO RT POLIDO CX2,","CERAM RETIF POL 60x120 BRANCO RT POLIDO CX2,","PISO 60x120 BRANCO RT POLIDO CX2,"
HH2-RBI,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA BOLD,CERAM BOLD ANTI,50x50,CALCADA,CERAM BOLD ANTI 50x50 CALCADA,"PISO 50x50 ADR. CALCADA HD 50 PEI 3(2,50 M² / CX)"
HHU-1C9,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA RETIF,CERAM RETIF POL,66x66,NERO ELEVATO,CERAM RETIF POL 66x66 NERO ELEVATO,"PISO 66X66 NERO ELEVATO POL (2,18 M²/CX)"
HJK-AU9,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA BOLD,CERAM BOLD LISA,45x45,TURIM BLACK,CERAM BOLD LISA 45x45 TURIM BLACK,"PISO 45x45 TURIM BLACK (2,00 M²/ CX) PEI2 5"
HO6-V57,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA BOLD,CERAM BOLD PARE,34x60,OREON,CERAM BOLD PARE 34x60 OREON,"PISO 34x60 OREON BR 2,10M2 HD PEI3 5924D"
HRI-G36,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA BOLD,CERAM BOLD PARE,34x60,FOLHA,CERAM BOLD PARE 34x60 FOLHA,"PISO 34X60 FOLHA HD (2,1 M²/CX)"
I0B-GHS,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA BOLD,CERAM BOLD PARE,34x60,DUCALE,CERAM BOLD PARE 34x60 DUCALE,"PISO 34x60 DUCALE PEI 3 (2,10 M²/ CX)"
I77-NUQ,4 — Revestimentos,ASSENTAMENTO_CERAMICA,PISOS E REVESTIMENTOS,PISO,33x60,"TROPICAL BLUE HD PEI 2 (CX 2,43 M²)","PISO 33x60 TROPICAL BLUE HD PEI 2 (CX 2,43 M²)","PISO 33x60 TROPICAL BLUE HD PEI 2 (CX 2,43 M²)"
IO6-73V,4 — Revestimentos,ASSENTAMENTO_CERAMICA,PISOS E REVESTIMENTOS,PISO,61x61,"ALAMEDA MARROM HD  PEI 4 (2,23 M²/ CX)","PISO 61x61 ALAMEDA MARROM HD PEI 4 (2,23 M²/ CX)","PISO 61x61 ALAMEDA MARROM HD  PEI 4 (2,23 M²/ CX)"
IW6-HGQ,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA RETIF,CERAM RETIF MATE,60x120,BOSSA CLARO,CERAM RETIF MATE 60x120 BOSSA CLARO,PISO 60x120 BOSSA CLARO MATE RT
IZ2-S4O,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA RETIF,CERAM RETIF POL,66x66,FIORDO,CERAM RETIF POL 66x66 FIORDO,"PISO 66x66 FIORDO POL (2,18 M²/CX)"
JD4-C3N,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA BOLD,CERAM BOLD ANTI,45x45,BANDEIRANTE 46,CERAM BOLD ANTI 45x45 BANDEIRANTE 46,"PISO 45x45 BANDEIRANTE 46 (2,00M² / CX)"
JLJ-D5L,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA BOLD,CERAM BOLD ANTI,50x50,STREET,CERAM BOLD ANTI 50x50 STREET,"PISO 50x50 STREET ANTD (2,50M²/ CX)"
JNI-PL9,4 — Revestimentos,ASSENTAMENTO_CERAMICA,PISOS E REVESTIMENTOS,PISO,81x81,"LOMBARDIA BG MATE RET (1,97M²/ CX)","PISO 81x81 LOMBARDIA BG MATE RET (1,97M²/ CX)","PISO 81x81 LOMBARDIA BG MATE RET (1,97M²/ CX)"
JPP-CV0,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA BOLD,CERAM BOLD ANTI,45x45,PLANALTO,CERAM BOLD ANTI 45x45 PLANALTO,"PISO 45X45 PLANALTO PEI 4 (2,00M² / CX)"
JYJ-1U7,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA BOLD,CERAM BOLD LISA,50x50,BIANCO,CERAM BOLD LISA 50x50 BIANCO,"PISO 50x50 BIANCO 50 (2,50 M²/ CX)"
K3N-THM,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA BOLD,CERAM BOLD SEMI,45x45,CENTAURO BG,CERAM BOLD SEMI 45x45 CENTAURO BG,"PISO 45x45 CENTAURO BEGE 45 A PEI 5 CX ((2,00 M²/ CX))"
KBX-D8M,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA BOLD,CERAM BOLD LISA,43x43,LE BLANC,CERAM BOLD LISA 43x43 LE BLANC,"PISO 43x43 LE BLANC CX2,06M2 PEI"
KGT-YW9,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA RETIF,CERAM RETIF POL,66x66,INTENSY,CERAM RETIF POL 66x66 INTENSY,"PISO 66x66 INTENSY POL (2,18 M²/CX)"
KHN-BM7,4 — Revestimentos,ASSENTAMENTO_CERAMICA,PISOS E REVESTIMENTOS,PISO,60x60,"ACT ARDASIA DARK GRAY  PEI 3 (CX 2,52 M²)","PISO 60x60 ACT ARDASIA DARK GRAY PEI 3 (CX 2,52 M²)","PISO 60x60 ACT ARDASIA DARK GRAY  PEI 3 (CX 2,52 M²)"
KIG-EC0,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA BOLD,CERAM BOLD LISA,45x45,CRISTAL MARROM,CERAM BOLD LISA 45x45 CRISTAL MARROM,"PISO 45x45 CRISTAL MARRROM (2,00 M²/ CX)"
KN4-TWR,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA BOLD,CERAM BOLD PARE,34x60,AZULEIJO PT,CERAM BOLD PARE 34x60 AZULEIJO PT,"PISO 34x60 AZULEJO PT HD  (CX 2,10 M²)"
L00-5DR,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA RETIF,CERAM RETIF POL,66x66,BEGE,CERAM RETIF POL 66x66 BEGE,PISO 66x66 BEGE RETIFICADO POLIDO
L0Y-5D3,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA BOLD,CERAM BOLD ANTI,50x50,MURANO,CERAM BOLD ANTI 50x50 MURANO,"PISO 50x50 MURANO HD 50 EXT CX2,5"
L15-KH8,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA RETIF,CERAM RETIF POL,32x66,BRANCO,CERAM RETIF POL 32x66 BRANCO,PISO 32x66 BRANCO RETIFICADO POLI
L19-TOS,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA RETIF,CERAM RETIF POL,60x120,PERSA BG,CERAM RETIF POL 60x120 PERSA BG,"PISO 60X120 PERSA BEGE POL (2,16M²/ CX)"
LDO-L9N,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA BOLD,CERAM BOLD SEMI,45x45,SIZAL,CERAM BOLD SEMI 45x45 SIZAL,PISO 45x45 SIZAL
LS7-KWU,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA RETIF,CERAM RETIF MATE,60x120,BLEND BG,CERAM RETIF MATE 60x120 BLEND BG,PISO 60x120 BLEND BEGE MATE RETIFICADO
M1F-WKF,4 — Revestimentos,ASSENTAMENTO_CERAMICA,PISOS E REVESTIMENTOS,PISO,61x61,"PLENO PEI 4 (2,23M²/ CX)","PISO 61x61 PLENO PEI 4 (2,23M²/ CX)","PISO 61x61 PLENO PEI 4 (2,23M²/ CX)"
M5C-0UL,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA RETIF,CERAM RETIF ANTI,60x120,ARENISA BG,CERAM RETIF ANTI 60x120 ARENISA BG,PISO 60x120 ARENISA BEGE GRANILHADO RT
MDX-TJ2,4 — Revestimentos,ASSENTAMENTO_CERAMICA,PISOS E REVESTIMENTOS,PISO,83x83,"MIZAR POLIDO RT LB  (2,75 M²/ CX)","PISO 83x83 MIZAR POLIDO RT LB (2,75 M²/ CX)","PISO 83x83 MIZAR POLIDO RT LB  (2,75 M²/ CX)"
