codigo_interno,categoria_atual,linha,produto_compra,eixo_a,eixo_b,novo_sku,h1,h2,h3,h4,h5,sku_atual
X76-MHL,G - PINTURA E QUÍMICOS,TINTA,TINTA ACRÍLICA FOSCO,(15 L),POUPE+,TINTA ACRÍLICA FOSCO (15 L) POUPE+,TINTA,(15 L),ACR. FOSCO ECON.,POUPE+,PRETO,TINTA (15 L) ACR. FOSCO ECON. POUPE+ PRETO
Y6A-D85,G - PINTURA E QUÍMICOS,TINTA,TINTA ESMALTE SINTÉTICO,"(3,6L)",CITYCOLOR,"TINTA ESMALTE SINTÉTICO (3,6L) CITYCOLOR",TINTA,"(3,6L)",ESMALTE,CITYCOLOR,AZUL DEL REY,"TINTA (3,6L) ESMALTE CITYCOLOR AZUL DEL REY"
Y9Q-F67,G - PINTURA E QUÍMICOS,TINTA,TINTA ESMALTE SINTÉTICO,"(3,6L)",CITYCOLOR,"TINTA ESMALTE SINTÉTICO (3,6L) CITYCOLOR",TINTA,"(3,6L)",ESMALTE,CITYCOLOR,VERMELHO GARANTIDO,"TINTA (3,6L) ESMALTE CITYCOLOR VERMELHO GARANTIDO"
YVN-8CA,G - PINTURA E QUÍMICOS,TINTA,TINTA P/ PISO,"(3,6 L)",IQUINE,"TINTA P/ PISO (3,6 L) IQUINE",TINTA,"(3,6 L)",P/ PISO,IQUINE,BRRANCO NEVE,"TINTA (3,6 L) P/ PISO IQUINE BRRANCO NEVE"
Z4M-40A,G - PINTURA E QUÍMICOS,TINTA,TINTA ESMALTE SINTÉTICO,"(3,6L)",VERBRAS,"TINTA ESMALTE SINTÉTICO (3,6L) VERBRAS",TINTA,"(3,6L)",ESMALTE,VERBRAS,AMARELO CARTEPILA,"TINTA (3,6L) ESMALTE VERBRAS AMARELO CARTEPILA"
ZO6-M1D,G - PINTURA E QUÍMICOS,TINTA,TINTA STANDARD,"(3,6 L)",POUPE+ VERBRAS,"TINTA STANDARD (3,6 L) POUPE+ VERBRAS",TINTA,"(3,6 L)",STANDARD,POUPE+ VERBRAS,CREME,"TINTA (3,6 L) STANDARD POUPE+ VERBRAS CREME"
ZT0-BUF,G - PINTURA E QUÍMICOS,TINTA,TINTA ESMALTE SINTÉTICO,"(3,6L)",CITYCOLOR,"TINTA ESMALTE SINTÉTICO (3,6L) CITYCOLOR",TINTA,"(3,6L)",ESMALTE,CITYCOLOR,AMARELO,"TINTA (3,6L) ESMALTE CITYCOLOR AMARELO"
13S-5TA,G - PINTURA E QUÍMICOS,TINTA,TINTA,"3,6 L",,"TINTA 3,6 L","TINTA ACABEMENTO CITYCOLOR (3,6 L) CIMENTO QUEIMADO",,,,,"TINTA ACABEMENTO CITYCOLOR (3,6 L) CIMENTO QUEIMADO"
CQQ-94S,G - PINTURA E QUÍMICOS,TINTA,TINTA SPRAY,360ML,,TINTA SPRAY 360ML,TINTA SPRAY COLORGIN 360ML - AZUL MÉDIO,,,,,TINTA SPRAY COLORGIN 360ML - AZUL MÉDIO
QNO-L9U,G - PINTURA E QUÍMICOS,TINTA,TINTA SPRAY,360ML,,TINTA SPRAY 360ML,TINTA SPRAY COLORGIN 360ML - BRANCO FOSCO,,,,,TINTA SPRAY COLORGIN 360ML - BRANCO FOSCO
