codigo;lote;motivo;nome_original;nome_actual_db;status;ativo
BL4-2TI;2;Conexão hidráulica;TE ESGOTO 75MM;TE ESGOTO 75MM;ok;true
D7Q-QQ2;2;Iluminação;SPOT LED AUXILIAR PEQUENO 03W QUAD 3000K;SPOT LED AUXILIAR PEQUENO 03W QUAD 3000K;ok;true
2VC-08A;2;Tinta/verniz: produto + volume;PINTURA ASFALTICA ACQUA 01 L;PINTURA ASFALTICA ACQUA 01 L;ok;true
58R-TJ7;2;Torneira por uso;TORNEIRA P/LAVATORIO MESA ABS 1/4 VOLTA DN15;TORNEIRA P/LAVATORIO MESA ABS 1/4 VOLTA DN15;ok;true
2DD-8PK;2;Nome curto + apresentação;TAPA-FURO DE 50 MM;TAPA-FURO DE 50 MM;ok;true
E55-9HQ;2;Registro + medida;REGISTRO ESFERA ROSCÁVEL INTERNA 1/2;REGISTRO ESFERA ROSCÁVEL INTERNA 1/2;ok;true
3RK-NAI;2;Torneira por uso;TORNEIRA MAQ/PAREDE CURTA 1/2;TORNEIRA MAQ/PAREDE CURTA 1/2;ok;true
191-IHY;2;Registro + medida;REGISTRO PRESSAO J2 DN20;REGISTRO PRESSAO J2 DN20;ok;true
WO3-P8D;2;Nome curto + apresentação;UNIAO ROSCAVEL 1 1/2;UNIAO ROSCAVEL 1 1/2;ok;true
0FQ-TGE;2;Torneira por uso;TORNEIRA BIC MOV P/PIA COZ MESA ABS DN15;TORNEIRA BIC MOV P/PIA COZ MESA ABS DN15;ok;true
FP8-JSG;2;Registro + medida;REGISTRO ESFERA ROSCÁVEL METAL 1 1/2;REGISTRO ESFERA ROSCÁVEL METAL 1 1/2;ok;true
